0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 0.634665 
0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 0.698132 
0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 0.761598 
0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 0.825065 
0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 0.888531 
0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 0.951998 
1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 1.01546 
1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 1.07893 
1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 1.1424 
1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 1.20586 
